id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,analysis_type
ieu-a-1187,ukb-b-5076,Not socialising,Depression,Inverse variance weighted,33,0.000794845,0.010182893,0.937782822,Network
ieu-a-1187,ukb-b-5076,Not socialising,Depression,Simple mode,33,-0.011870282,0.018638447,0.52873916,Network
ieu-a-1187,ukb-b-5076,Not socialising,Depression,Weighted mode,33,-0.016102456,0.016510006,0.336719782,Network
ieu-a-1187,ieu-a-118,Neuroticism,Depression,MR Egger intercept,33,0.003679635,0.007077997,0.60684729,Network
ieu-a-1187,ieu-a-118,Neuroticism,Depression,MR Egger,33,0.404266675,0.224967043,0.082084507,Network
ieu-a-1187,ieu-a-118,Neuroticism,Depression,Weighted median,33,0.181839576,0.049356064,0.000229386,Network
ieu-a-1187,ieu-a-118,Neuroticism,Depression,Inverse variance weighted,33,0.160294413,0.036653866,1.22E-05,Network
ieu-a-1187,ieu-a-118,Neuroticism,Depression,Simple mode,33,0.212474765,0.121590391,0.090148529,Network
ieu-a-1187,ieu-a-118,Neuroticism,Depression,Weighted mode,33,0.11934777,0.127441795,0.356036093,Network
ieu-a-1187,ukb-b-5237,Coffee intake,Depression,MR Egger intercept,33,0.007511401,0.009758375,0.447280879,Network
ieu-a-1187,ukb-b-5237,Coffee intake,Depression,MR Egger,33,0.007254001,0.083003953,0.930920878,Network
ieu-a-1187,ukb-b-5237,Coffee intake,Depression,Weighted median,33,0.006349918,0.01564771,0.684885915,Network
ieu-a-1187,ukb-b-5237,Coffee intake,Depression,Inverse variance weighted,33,-0.003786494,0.016893428,0.822648303,Network
ieu-a-1187,ukb-b-5237,Coffee intake,Depression,Simple mode,33,0.024393566,0.030552036,0.430508829,Network
ieu-a-1187,ukb-b-5237,Coffee intake,Depression,Weighted mode,33,0.017800963,0.023936717,0.462503317,Network
ieu-a-1187,ieu-a-24,Diabetes,Depression,MR Egger intercept,4,-0.01942762,0.046487661,0.716608112,Network
ieu-a-1187,ieu-a-24,Diabetes,Depression,MR Egger,4,0.224388811,2.868488842,0.944770684,Network
ieu-a-1187,ieu-a-24,Diabetes,Depression,Weighted median,4,0.34567348,0.275381882,0.209387529,Network
ieu-a-1187,ieu-a-24,Diabetes,Depression,Inverse variance weighted,4,0.210212887,0.426936519,0.622454239,Network
ieu-a-1187,ieu-a-24,Diabetes,Depression,Simple mode,4,0.580670334,0.485629696,0.317706548,Network
ieu-a-1187,ieu-a-24,Diabetes,Depression,Weighted mode,4,0.600755788,0.477710177,0.297532313,Network
ieu-a-1187,ieu-a-7,CHD,Depression,MR Egger intercept,33,0.000921272,0.010182973,0.92849438,Network
ieu-a-1187,ieu-a-7,CHD,Depression,MR Egger,33,-0.140424349,0.359718597,0.69893058,Network
ieu-a-1187,ieu-a-7,CHD,Depression,Weighted median,33,0.096790584,0.080745962,0.230642692,Network
ieu-a-1187,ieu-a-7,CHD,Depression,Inverse variance weighted,33,0.076499569,0.065628202,0.243755645,Network
ieu-a-1187,ieu-a-7,CHD,Depression,Simple mode,33,0.214826453,0.176529871,0.232525949,Network
ieu-a-1187,ieu-a-7,CHD,Depression,Weighted mode,33,0.214826453,0.184911307,0.253916845,Network
ukb-b-6519,ieu-a-1187,Depression,Worry,MR Egger intercept,5,-0.017629396,0.009386118,0.156967836,Network
ukb-b-6519,ieu-a-1187,Depression,Worry,MR Egger,5,7.102636539,8.72267701,0.475116903,Network
ukb-b-6519,ieu-a-1187,Depression,Worry,Weighted median,5,3.148751746,0.496851601,2.34E-10,Network
ukb-b-6519,ieu-a-1187,Depression,Worry,Inverse variance weighted,5,2.218120882,1.086954389,0.04128312,Network
ukb-b-6519,ieu-a-1187,Depression,Worry,Simple mode,5,3.547879332,0.548524798,0.002943335,Network
ukb-b-6519,ieu-a-1187,Depression,Worry,Weighted mode,5,3.516680187,0.57720346,0.0036703,Network
ukb-b-6519,ukb-b-5779,Alcohol,Worry,MR Egger intercept,64,0.001593765,0.001330467,0.235515605,Network
ukb-b-6519,ukb-b-5779,Alcohol,Worry,MR Egger,64,0.36646294,0.686175979,0.595206015,Network
ukb-b-6519,ukb-b-5779,Alcohol,Worry,Weighted median,64,0.291481631,0.098001271,0.002936925,Network
ukb-b-6519,ukb-b-5779,Alcohol,Worry,Inverse variance weighted,64,0.29126971,0.132739563,0.028214236,Network
ukb-b-6519,ukb-b-5779,Alcohol,Worry,Simple mode,64,0.388752659,0.224901707,0.088789061,Network
ukb-b-6519,ukb-b-5779,Alcohol,Worry,Weighted mode,64,0.358881137,0.197697998,0.074237911,Network
ukb-b-6519,ieu-a-961,Smoking,Worry,MR Egger intercept,48,0.002650641,0.025065083,0.916240256,Network
ukb-b-6519,ieu-a-961,Smoking,Worry,MR Egger,48,-2.765317133,10.93308764,0.801448431,Network
ukb-b-6519,ieu-a-961,Smoking,Worry,Weighted median,48,-0.42818677,2.546604097,0.866472908,Network
ukb-b-6519,ieu-a-961,Smoking,Worry,Inverse variance weighted,48,-1.325545711,1.8040546,0.46248616,Network
ukb-b-6519,ieu-a-961,Smoking,Worry,Simple mode,48,-5.706037683,6.328814551,0.371868376,Network
ukb-b-6519,ieu-a-961,Smoking,Worry,Weighted mode,48,7.094083682,6.160409941,0.255326216,Network
ukb-b-6519,ieu-a-1239,Education,Worry,MR Egger intercept,60,0.00025273,0.001373399,0.854641496,Network
ukb-b-6519,ieu-a-1239,Education,Worry,MR Egger,60,0.537280812,0.543506087,0.326991443,Network
ukb-b-6519,ieu-a-1239,Education,Worry,Weighted median,60,0.011310352,0.063019971,0.857566706,Network
ukb-b-6519,ieu-a-1239,Education,Worry,Inverse variance weighted,60,-0.078055527,0.104017094,0.453007463,Network
ukb-b-6519,ieu-a-1239,Education,Worry,Simple mode,60,-0.104777071,0.174293065,0.550039805,Network
ukb-b-6519,ieu-a-1239,Education,Worry,Weighted mode,60,0.000145988,0.130847924,0.999113556,Network
ukb-b-6519,ukb-b-19953,BMI,Worry,MR Egger intercept,64,-0.001317245,0.001165607,0.262789938,Network
ukb-b-6519,ukb-b-19953,BMI,Worry,MR Egger,64,-2.358647175,0.829681297,0.006046759,Network
ukb-b-6519,ukb-b-19953,BMI,Worry,Weighted median,64,-0.329632518,0.083495313,7.88E-05,Network
ukb-b-6519,ukb-b-19953,BMI,Worry,Inverse variance weighted,64,-0.549791981,0.166724753,0.00097514,Network
ukb-b-6519,ukb-b-19953,BMI,Worry,Simple mode,64,-0.204589683,0.239875305,0.396945712,Network
ukb-b-6519,ukb-b-19953,BMI,Worry,Weighted mode,64,-0.204589683,0.205270658,0.322731465,Network
ukb-b-6519,ukb-b-5238,Intelligence,Worry,MR Egger intercept,64,-0.000326669,0.001580327,0.836913887,Network
ukb-b-6519,ukb-b-5238,Intelligence,Worry,MR Egger,64,0.518479658,1.600031529,0.746995829,Network
ukb-b-6519,ukb-b-5238,Intelligence,Worry,Weighted median,64,-0.803120876,0.259206514,0.001945802,Network
ukb-b-6519,ukb-b-5238,Intelligence,Worry,Inverse variance weighted,64,-1.014491354,0.311493188,0.001126499,Network
ukb-b-6519,ukb-b-5238,Intelligence,Worry,Simple mode,64,-0.613160164,0.613252364,0.321208222,Network
ukb-b-6519,ukb-b-5238,Intelligence,Worry,Weighted mode,64,-0.30822648,0.54512304,0.573792626,Network
ukb-b-6519,ieu-a-1018,Wellbeing,Worry,MR Egger intercept,47,-0.000555917,0.001471559,0.707374198,Network
ukb-b-6519,ieu-a-1018,Wellbeing,Worry,MR Egger,47,-0.518689541,0.472310104,0.277959871,Network
ukb-b-6519,ieu-a-1018,Wellbeing,Worry,Weighted median,47,-0.257319989,0.107850864,0.017037979,Network
ukb-b-6519,ieu-a-1018,Wellbeing,Worry,Inverse variance weighted,47,-0.411089571,0.078303032,1.52E-07,Network
ukb-b-6519,ieu-a-1018,Wellbeing,Worry,Simple mode,47,-0.225001982,0.264014981,0.398500831,Network
ukb-b-6519,ieu-a-1018,Wellbeing,Worry,Weighted mode,47,-0.189436883,0.265419685,0.479002559,Network
ukb-b-6519,ukb-b-4424,Sleep duration,Worry,MR Egger intercept,64,-0.000430331,0.001436537,0.765513788,Network
ukb-b-6519,ukb-b-4424,Sleep duration,Worry,MR Egger,64,-0.265665719,0.377175682,0.483848844,Network
ukb-b-6519,ukb-b-4424,Sleep duration,Worry,Weighted median,64,-0.101260753,0.055134035,0.066264721,Network
ukb-b-6519,ukb-b-4424,Sleep duration,Worry,Inverse variance weighted,64,-0.076257184,0.073113549,0.296949864,Network
ukb-b-6519,ukb-b-4424,Sleep duration,Worry,Simple mode,64,-0.202632898,0.168932989,0.234830485,Network
ukb-b-6519,ukb-b-4424,Sleep duration,Worry,Weighted mode,64,0.141841357,0.157747961,0.371989054,Network
ukb-b-6519,ukb-b-8476,Loneliness,Worry,MR Egger intercept,64,0.003170681,0.00120485,0.010709731,Network
ukb-b-6519,ukb-b-8476,Loneliness,Worry,MR Egger,64,-0.094946136,0.120710574,0.434535552,Network
ukb-b-6519,ukb-b-8476,Loneliness,Worry,Weighted median,64,0.185638162,0.026131244,1.21E-12,Network
ukb-b-6519,ukb-b-8476,Loneliness,Worry,Inverse variance weighted,64,0.187065925,0.024393285,1.74E-14,Network
ukb-b-6519,ukb-b-8476,Loneliness,Worry,Simple mode,64,0.177549567,0.064424427,0.007644312,Network
ukb-b-6519,ukb-b-8476,Loneliness,Worry,Weighted mode,64,0.180215367,0.05511208,0.001745635,Network
ukb-b-6519,ukb-b-3957,Sleeplessness,Worry,MR Egger intercept,64,0.000620549,0.00118618,0.602735504,Network
ukb-b-6519,ukb-b-3957,Sleeplessness,Worry,MR Egger,64,0.222380473,0.255529693,0.387508538,Network
ukb-b-6519,ukb-b-3957,Sleeplessness,Worry,Weighted median,64,0.355916501,0.04965432,7.62E-13,Network
ukb-b-6519,ukb-b-3957,Sleeplessness,Worry,Inverse variance weighted,64,0.362839861,0.049551376,2.43E-13,Network
ukb-b-6519,ukb-b-3957,Sleeplessness,Worry,Simple mode,64,0.426671399,0.141806223,0.003767116,Network
ukb-b-6519,ukb-b-3957,Sleeplessness,Worry,Weighted mode,64,0.443571249,0.143941776,0.003051987,Network
ukb-b-6519,ukb-b-4956,Eveningness,Worry,MR Egger intercept,64,-0.002408287,0.001400256,0.090440949,Network
ukb-b-6519,ukb-b-4956,Eveningness,Worry,MR Egger,64,0.83513005,0.389412654,0.035912733,Network
ukb-b-6519,ukb-b-4956,Eveningness,Worry,Weighted median,64,-0.085609469,0.067475103,0.204527962,Network
ukb-b-6519,ukb-b-4956,Eveningness,Worry,Inverse variance weighted,64,-0.047856781,0.078496666,0.542082801,Network
ukb-b-6519,ukb-b-4956,Eveningness,Worry,Simple mode,64,-0.108583896,0.180048092,0.548618693,Network
ukb-b-6519,ukb-b-4956,Eveningness,Worry,Weighted mode,64,-0.081101742,0.177217573,0.648785972,Network
ukb-b-6519,ukb-d-SLEEP,ICD10 Insomni,Worry,MR Egger intercept,63,-0.000816077,0.001442648,0.573686516,Network
ukb-b-6519,ukb-d-SLEEP,ICD10 Insomni,Worry,MR Egger,63,-0.005897045,0.022825866,0.797007086,Network
ukb-b-6519,ukb-d-SLEEP,ICD10 Insomni,Worry,Weighted median,63,0.001852325,0.005868448,0.752274755,Network
ukb-b-6519,ukb-d-SLEEP,ICD10 Insomni,Worry,Inverse variance weighted,63,0.004403229,0.004267868,0.302205053,Network
ukb-b-6519,ukb-d-SLEEP,ICD10 Insomni,Worry,Simple mode,63,-0.005536752,0.0135215,0.683600421,Network
ukb-b-6519,ukb-d-SLEEP,ICD10 Insomni,Worry,Weighted mode,63,-0.008218881,0.012050429,0.49775346,Network
ukb-b-6519,ukb-b-4062,Happiness,Worry,MR Egger intercept,64,0.001407985,0.001174586,0.235203093,Network
ukb-b-6519,ukb-b-4062,Happiness,Worry,MR Egger,64,0.168776028,0.287577968,0.559410067,Network
ukb-b-6519,ukb-b-4062,Happiness,Worry,Weighted median,64,0.385153459,0.074137953,2.05E-07,Network
ukb-b-6519,ukb-b-4062,Happiness,Worry,Inverse variance weighted,64,0.382557736,0.055834493,7.30E-12,Network
ukb-b-6519,ukb-b-4062,Happiness,Worry,Simple mode,64,0.391133635,0.211326495,0.068880324,Network
ukb-b-6519,ukb-b-4062,Happiness,Worry,Weighted mode,64,0.159210508,0.195621813,0.418785616,Network
ukb-b-6519,ukb-b-4710,Exercise,Worry,MR Egger intercept,64,0.001529646,0.001332433,0.255374863,Network
ukb-b-6519,ukb-b-4710,Exercise,Worry,MR Egger,64,0.689637032,0.873270176,0.432702522,Network
ukb-b-6519,ukb-b-4710,Exercise,Worry,Weighted median,64,0.413142252,0.159474831,0.009579699,Network
ukb-b-6519,ukb-b-4710,Exercise,Worry,Inverse variance weighted,64,0.38046834,0.169100858,0.024452171,Network
ukb-b-6519,ukb-b-4710,Exercise,Worry,Simple mode,64,0.516096969,0.392107195,0.19287115,Network
ukb-b-6519,ukb-b-4710,Exercise,Worry,Weighted mode,64,0.668519682,0.378096326,0.081882498,Network
ukb-b-6519,ukb-b-5076,Not socialising,Worry,MR Egger intercept,64,0.002685946,0.001510541,0.08028502,Network
ukb-b-6519,ukb-b-5076,Not socialising,Worry,MR Egger,64,-0.220058695,0.163001895,0.181912098,Network
ukb-b-6519,ukb-b-5076,Not socialising,Worry,Weighted median,64,0.009779873,0.03179331,0.75838073,Network
ukb-b-6519,ukb-b-5076,Not socialising,Worry,Inverse variance weighted,64,-0.007324469,0.031976129,0.818821861,Network
ukb-b-6519,ukb-b-5076,Not socialising,Worry,Simple mode,64,0.066055741,0.090134008,0.466361048,Network
ukb-b-6519,ukb-b-5076,Not socialising,Worry,Weighted mode,64,0.080950699,0.105930192,0.447607357,Network
ukb-b-6519,ieu-a-118,Neuroticism,Worry,MR Egger intercept,48,0.001937552,0.001629006,0.240382731,Network
ukb-b-6519,ieu-a-118,Neuroticism,Worry,MR Egger,48,1.113921336,0.715790202,0.126511731,Network
ukb-b-6519,ieu-a-118,Neuroticism,Worry,Weighted median,48,0.722976144,0.179742781,5.76E-05,Network
ukb-b-6519,ieu-a-118,Neuroticism,Worry,Inverse variance weighted,48,0.767011475,0.130499623,4.17E-09,Network
ukb-b-6519,ieu-a-118,Neuroticism,Worry,Simple mode,48,0.758009202,0.33550566,0.028542438,Network
ukb-b-6519,ieu-a-118,Neuroticism,Worry,Weighted mode,48,0.758009202,0.285324216,0.010745884,Network
ukb-b-6519,ukb-b-5237,Coffee intake,Worry,MR Egger intercept,64,0.001829046,0.001339503,0.177040581,Network
ukb-b-6519,ukb-b-5237,Coffee intake,Worry,MR Egger,64,-0.522865511,0.340392538,0.129610033,Network
ukb-b-6519,ukb-b-5237,Coffee intake,Worry,Weighted median,64,-0.07579469,0.057527997,0.187662032,Network
ukb-b-6519,ukb-b-5237,Coffee intake,Worry,Inverse variance weighted,64,-0.159627909,0.066480043,0.016344069,Network
ukb-b-6519,ukb-b-5237,Coffee intake,Worry,Simple mode,64,-0.020246416,0.152666822,0.894917922,Network
ukb-b-6519,ukb-b-5237,Coffee intake,Worry,Weighted mode,64,-0.059654073,0.127928424,0.642603306,Network
ukb-b-6519,ieu-a-24,Diabetes,Worry,MR Egger intercept,11,0.00344749,0.006774028,0.623044497,Network
ukb-b-6519,ieu-a-24,Diabetes,Worry,MR Egger,11,-1.424955128,6.941101312,0.841911831,Network
ukb-b-6519,ieu-a-24,Diabetes,Worry,Weighted median,11,0.110568534,0.891195387,0.901261697,Network
ukb-b-6519,ieu-a-24,Diabetes,Worry,Inverse variance weighted,11,-0.333359753,1.029637165,0.746116488,Network
ukb-b-6519,ieu-a-24,Diabetes,Worry,Simple mode,11,1.139795769,1.57902276,0.486930592,Network
ukb-b-6519,ieu-a-24,Diabetes,Worry,Weighted mode,11,1.280173295,1.458923397,0.400816964,Network
ukb-b-6519,ieu-a-7,CHD,Worry,MR Egger intercept,59,-0.000583871,0.00197553,0.768646421,Network
ukb-b-6519,ieu-a-7,CHD,Worry,MR Egger,59,-1.850792338,1.461748307,0.210609738,Network
ukb-b-6519,ieu-a-7,CHD,Worry,Weighted median,59,-0.25140683,0.279872938,0.369031402,Network
ukb-b-6519,ieu-a-7,CHD,Worry,Inverse variance weighted,59,-0.157175535,0.25503718,0.537706576,Network
ukb-b-6519,ieu-a-7,CHD,Worry,Simple mode,59,-0.118196974,0.650707007,0.856495502,Network
ukb-b-6519,ieu-a-7,CHD,Worry,Weighted mode,59,-0.300313075,0.582613718,0.608192043,Network
ukb-b-5779,ieu-a-1187,Depression,Alcohol,Wald ratio,1,0.762508024,0.245747071,0.001916886,Network
ukb-b-5779,ukb-b-6519,Worry,Alcohol,MR Egger intercept,99,-0.006548941,0.003862765,0.093206874,Network
ukb-b-5779,ukb-b-6519,Worry,Alcohol,MR Egger,99,0.035591859,0.024017053,0.141597396,Network
ukb-b-5779,ukb-b-6519,Worry,Alcohol,Weighted median,99,0.012530033,0.008462049,0.138677813,Network
ukb-b-5779,ukb-b-6519,Worry,Alcohol,Inverse variance weighted,99,0.007671783,0.010614699,0.469832976,Network
ukb-b-5779,ukb-b-6519,Worry,Alcohol,Simple mode,99,-0.029987454,0.025355606,0.239799163,Network
ukb-b-5779,ukb-b-6519,Worry,Alcohol,Weighted mode,99,0.016725786,0.00980803,0.091303508,Network
ukb-b-5779,ieu-a-961,Smoking,Alcohol,MR Egger intercept,67,-0.001596949,0.017872671,0.929077349,Network
ukb-b-5779,ieu-a-961,Smoking,Alcohol,MR Egger,67,0.426981227,1.771697357,0.810312756,Network
